,asin,summary
818,B007BICIRC,I've always been told the universe is strange Confusion
819,B007BQ3WB0,Good collection of short stories Edge of Hyperspace Excellent stories
820,B007C24EWE,A SyFy Novel of the Future Corporations - Who Own And Rule Everything A good short space opera It is full of action and intrigue which kept me glued to the pages.
821,B007C4IAKO,"fast paced excellent book Turned out to be a Reader and Can't Wait for the next book!!!! Very good battle earth A Sci-Fi must read Non stop action Kinda hard to believe, but a good book Great novel So so Battle Earth- Books 1 thru 3 great action in a very believable (near) future timeframe Excellent Great concept, needs some editing Better than Independance Day Really good Great story, great characters"
822,B007C759R8,Part three even better Buy the entire series Battle Earth III OK but disappointing The Trilogy Ends! Continues the Downhill Slide Exciting story Five Stars Scifi A little tedious at times but I like it It could Happen
823,B007CBMPW6,"excellent To little story for too much money Great story, Too expensive/short. Fun read SF 2 The adventure continues The Best new SF series"
824,B007CLBOZU,GREAT BOOK MUST READ
825,B007CLQIHY,Hard to llike Awesome
826,B007D0PMM6,necrophobia #2 (zombie apocalpse) Effing hardcore thrill ride!! This is a good series! Jack Hamlyn totally takes you there! and so it continues Excellent Read
827,B007D1R0R0,"Suspense filled and wizard approved. I HATE WRITING REVIEWS Great read! Four Stars fantastic read great story. Great story Again,wonderful."
828,B007DA177K,"Continuation of Heber-Witch Book 2 Reasoned and difficult decisions, plus a lot of adventure! I don't know why Great Side Characters, Great World, Great Story! I enjoy her writing I thought this was very well done and they certainly ..."
829,B007DCCVH8,"Ok, but repeats alot Not the usual fantasy A precise mixture of down-to-earth fantasy and thoughtful romance I don't know why Love the whole series! Good plot and character development Interesting verse concepts and a thoroughly-written romance that isn't the ..."
830,B007DHU7V0,"Great read Average Story! In a galaxy far, far away... A great story however it picks up the saga long after ... The saga continues...."
831,B007DQ4WHQ,"Enthralling and Compelling! Great book Great book - Cliffhanger ending Interesting post-apocolyptic scenario, cliffhanger ending Wanted to like it. New outlook on Future"
832,B007DXM6YU,"I'm loving it, but judge for yourself. To  expect different results from the same action is insane. When you start with insane anything is possible. Fantastic follow up to Bypass Gemini Really good read Great! Well versed and funny character's keep this book a page Turner all day and night Fantastic sequel - easily equal to the fun and fast paced action of the first! Amazing! Good Fun & Adventure Good science fiction read, and a worthwhile part of a serries that has you wanting more at the end without feeling shortchanged very good sequel, most will like the action. Crazy but good. Just an all-out fun sci-fi adventure! consequences fast paced action and a good well thought out plot another good story in the series Another fun read Needs  work. Pulp fiction forgettable series. Still it is fun! Great Book Four Stars Would suggest just about any of this author's books to anyone! nice addition to series Sqeeeee good plot and interesting a laugh a minute ! really good, simple sci-fi Fun Read. Just as good as the first A must for any sci fi library UNSTABLE PROTOTYPES..... Love this sequel Laugh out loud sci-fi. Cranky mad scientist needs rescuing The Interactive Funk Great follow-on to Bypass Gemini Loved it, Pulp fun. A great read Unstable Prototypes A good read. Great novel Great! Great I'm so happy to have found Joseph Lallo! A very good book Good follow up"
833,B007DZCDAK,Awful book Four Stars good book A good read disappointing
834,B007DZTK4W,Couldn't get through it
835,B007E4XQCO,A peek behind the veil
836,B007EDZ02E,Good read for Star Trek Next Generation fans Terrible idea handled about as well as it could be handled. Four Stars Best one of the trilogy A fun Wesley Crusher-novel! Who knew! Part of the Star Trek Cold Equations sub series of books Great story Best of the Series but Weak Ending Nice mix of old characters with new ones on the Enterprise. . Perhaps the best saga David Mack has ever written! Love Data and the Crew of Enterprise Mack does it again Great Story!
837,B007F2VAS2,"... the story as it evolved turned out too much like Coward, a previous story political intrigue, guns, and adventure I liked it but it was faintly clunky Another Wow from this author A most interesting set of characters. Military story with some SF elements Great Tale, and a character to believe in"
838,B007FEADOC,"Not Quite as Expected 10 stars Blood Rebellion 3.5 Not bad but not as  good as the.others Another great read! I've liked the series Justice! Poor Five Stars Really like it Great series I love this series! Loved it Great read! Blood Destiny Amazing Somehow veered way off track - contains mild spoilers Great series! Another Great Read!!!!!!!!!!!! Fantastic Highly recommend. Sad, bad, sad then happy !!! With some action ...... Great Series"
839,B007FSBXLU,So so Promising start of a series I liked this story.
840,B007FVST8C,Boring ZOMBIES Kill Town by Joseph Love
841,B007GDUVNA,origin of the species Alternate Earth Science Fiction Adventure Not very interesting it was ok.
842,B007GEYHKW,"nice intro to the series You wreck me baby Original, fun mecha horror Fun Read Rookie robot neutralizer good short good story - wish it was better Nice post-apocalyptic with crazy robots, but not stereotyped Wow - It Is Not Often I Finish a Book Wanting More Like This Great read"
843,B007GFXV6C,"Storyline hard to follow, but interesting. very good story If the Inquisition and Other Human Lunacy is your cup of tea Quick Read & Nice Introduction A Nice short flash back Sinner not all bad Sinners review Meh"
844,B007GNCE8K,"Anthony Ryan WOW Not bad, fast read"
845,B007GNICZO,"good back story Even The Sex Seems Pointless Good series, read them all Good Series Good one Good Series Fifth in series Four Stars It's a fast and fun read Awsome!"
846,B007GO364K,pretty good first book Riveting read. BAD...BAD...prefer a root canal  for fun
847,B007GO3VWW,"Five Stars I enjoyed very much as I do all your books Love the series Peace Maker was my least favorite of the series so far Buy this book A good continuation Excellent could not put it down Good story Peacemaker (The Flash Gold Chronicles, #3) like it.......BUT Peacemaker The series remains strong I have loved everything by this author! Another Fantastic Series Love it the fun continues a girl and her wrench Loved it! Well-balanced exciting story! Fun series great book More insights into Kali's past Good filler Cute but gritty story good read I love the little steampunk bike she has A great story continues Five Stars"
848,B007H0HOMS,"Three Stars Differant, but very enjoyable Space war what not to love clan command When? Great Read! Too much too fast too generic and not enough of it"
849,B007H2LAA8,"""NANOK..."" humorous fantasy done to perfection. A not-so-serious sword and sorcery short story Barbarians rock HELL YEAH"
850,B007H35FB2,a great improvement Thoroughly Enjoyable Read Great wrap-up Beyond Armageddon comes to an excellent finale! Excellent read A great finale to the series Fantastic! I could not put this down. A proper ending to a fine series Fitting end to the series. My son is reading ... Five Stars Needs to be made into a movie! Excellent ending to a great story
851,B007H4CXHA,A good addition to the series Best novel yet! One of the best reads I have come accross Not happy Solid Plots Looking forward to book 4 Very good read The story continues! Suprise is the Word of each Day The Rise fun 3 Phoenix In Chaos (Exodus) PHOENIX IN CHAOS
852,B007HEXNTC,Twisting ride... Go Jason!! very fun read of scy fy and fantasy adventure Three Stars Bit of a departure but well worth it interesting series Scifi
853,B007HOGMKO,"A Great Read snoring in heaven Just Excellent Happy customer review Biff Bam Boom another excellent read from Nuttall Great Nuttall read. Four Stars Five Stars this is one of Chris' best book put it up with First Strike if you ... Good book, Stand alone Five Stars Great reading! Five Stars buy them all Five Stars Hardcore Five Stars imaginative and a great read One of Nuttall's weaker works no surprise, just plain great reading! Dark Military Sci-Fi I don't get the great reviews for this work. Good read. Not his best, just interesting. Nuttall has done it AGAIN! W.D. Wall Slow starter Their loss is our gain Ambitious--but cluttered Great book Five Stars Four Stars Four Stars"
854,B007HOVTQ6,Book 1 is the Last Vampire. It is about ... Just not sure Patrick Interesting vampire tale Five Stars Five Stars Loved it! This prolific author is just inches away from prolific and world renowned Dark season Very depressing story
855,B007HU7NXS,"Must read! Short novella with Jim and Dali Nice addition to the Kate Daniels series, not great as a stand alone. A fine addition to the whole Kate Daniels world of fiction. Magic Dreams, novella Nice A Reading the Paranormal Review Five Stars A fine glimpse into a side character... a good read great novella Another great story Dani is just one of my favorite side characters hands down. Wow! Fun, quick adventure great filler story A Great Read! A great read Loved it My Review  :)"
856,B007I4C6AI,"What gives are we Writing and counting our  money by the page now?? Second book in the series, kicks the door open on the action! THe Legion wreak havoc Black legion series Better than the first Great books Great Black Legion: Assault on Khorram black legion A great read, imaginative and exciting :) Five Stars I really like most of the author's works Great read First of a great series"
857,B007I6K7DY,Fast and action packed Pieces in Play When does the next one come out Gets better and better
858,B007I6QIF0,difficult DaveH Good first try All Most There Unfinished uninteresting Excellent.
859,B007IVH4P8,"Awesome author, awesome book!!!"
860,B007IW9OEQ,"Zombie overload Maybe 4.5 Very good Buy it it never ends can't beat this series Great Series If you liked Max Brooke's book ""World War Z, You'll probably like this series. LWTD 4 Good Okay but nothing special REALLY GOOD READING!! Josh goes on a mission Love this series! Wild Great writer and really good book Entertaining"
861,B007IYKF4W,"Fantastic Twist.  Loved the ending!!! Unusual and thought-provoking book Remarkable Impact!  Buy this Book. Aliens = bad; humans = good This is an intelligent story, carefully thought out Yawn Really fun... Five Stars This author can't miss Great short story A great story with a twist Finding aliens Fantastic hard science fiction! did not see the ending coming Good read. Can be hard to keep disbelief suspended Tricky tale of Speculative Fiction Exdcellent teaser Highly recommended S. Hawking says first contact should be avoided, here's why"
862,B007J4HQAC,"Fun read NewB on the Block OK, Last one Dull, shallow the Best new SF series out there"
863,B007J8KYA2,"Nice Short Story Nice short story Books are dangerous, she taught us. Only witches were taught how to read. The demons can gain control of your mind through books."
864,B007JB66II,"Actions of the Stars Good Science Fiction, Good Story, Good Characters A Very Unusual SyFy Novel - The Last Human in Existence Nicely written novel with interesting characters and a good narrative. Mystery, Action, and Adventure"
865,B007JBBS54,"Just read the sample, It's the best part of the book."
866,B007JBG84U,Three Stars one good story and five copycat stories Techy
867,B007JCPESK,This could be a five star in many ways Great Read!
868,B007JJSMTQ,A slow but clever classical fantasy short story Loved it Well Writen Novella With A Breathtaking Ending
869,B007JKFD9W,An unnecessary trek closure done right the saga is over again. A Nice Way to End The Series Decent Finish I could read it all again!
870,B007JL6IYU,Intriguing Bittersweet A gem of a tale... Pretty Far Out.........But Good! A great story finished before it started.
871,B007JNP5GU,"Gruesome but riveting Kill them all, let God sort them out."
872,B007JZ0IEM,Invested in this Series Wonderful It just keeps getting better So loved this book Exciting!! Winter's saga 3 Cliffhanger
873,B007K3E17I,"Extended Epilogue for The Iron Duke Action-packed fast paced playful romantic adventure Steampunk mystery/romance Love the Iron Seas series, love steampunk 4.5 stars - Just a peek into the 'terrifying' HEA for Mina and her Iron Duke"
874,B007K3E4RA,"My Enemy's Son, Bk. 2 of The Two Moons of Rehnor series, the story continues. Great continuation My Enemy's Son"
875,B007KOI2B8,"space opera Great Series Very nice Unbelievable how history repeats itself... Great read So, So Here we go again!!! Edit Me Good Series, I'm reading them all. Awesome!! This author taught me to love the term ""space opera""!  This series is an easy, enjoyable read, and any sci fi fan should enjoy. great series Five Stars A great read for die hard SF Fans"
876,B007KR4OYY,Went To A Hockey Game and A Zombie Uprising Broke Out
877,B007LGYWGY,"Loved this book, really needs an editor Creative and thought provoking... What An Imagination! Future Earth Loved this book!"
878,B007M5MUYK,I soo wish this series was a movie. Love this entire series I couldn't put it down Keeps you interested! Enjoyable reaed another winner Book Evacuation Other than that it was a great read. Five Stars what an interesting ride Love them all Five Stars Captivating read. the suspense continues One of a Series difficult to finish this book ok story Three Stars Five Stars I like this series Five Stars #5 book You'll be glad you did Must read for sci Fi fans Enjoyed the book 5 -Evacuation Earth Still going strong Continuation of the saga. Evacuation Earth Getting there INTERESTING SCI-FI CONTINUES Many distracting errors all good completely engrossed Comet Clement Series Review Extraneous Exposition Highest Praise for Kevin George Great Great Series Evacuation Earth The comet series Comet Clement series is a very good story. High Praise for #1 - #8 You have to read all the Comet Clement series Decent story butread better
879,B007M8S2L2,Magical Isle of Torkholm Cute storyline Kilts & Kraken A Reading the Paranormal Review Steam punk at its best! I would recommend this series to anyone
880,B007MB5Q7M,Good read So-so Star Trek This is a great short read and a great revisit of the nexus ...
881,B007MCMJA8,A Refreshing Angle
882,B007NJPO2A,It's about time someone wrote this. Good book Five Stars Three Stars I Hate That I Didn't Think of This. Need the full book!
883,B007OGTFTA,"Moves around GREAT BOOK Interesting story in need of an editor Technically good, but requires editing and logic a very good book. A SyFy Novel Of Numerous Alien Races - Studying Earth I liked the book and would recommend it to other Avid Sci-Fi readers. Dang it! I wanted to finish! (3 book review) A little dull Trader's Scourge Traders scourge I liked this series."
884,B007OWQUTC,"Pretty good read. Good book with a different view... Day of the Dogs Day of the Dogs (the Aftermath Series) Good Read!! Not bad, could use some polish... A very interesting take on a very real possibility Enjoyed the first 70% of the book excellent read"
885,B007OZSCI6,"Fine New Fantasy ""Harvest of War""... an intriguing Orc/Human encounter... 4 1/2 Stars Four Stars A well written and intriguing Orcs short story"
886,B007P7ZVGO,Four Stars
887,B007PEYJF6,A perfect and beautiful story
888,B007PFE9UA,NewB on the Block A recap of military basic training All Good the Best new SF series out there Fun read
889,B007PQTRJW,"Better and better Burgess is a master The Plague: Valley of Death (Episode 5) ""Man without law to fear can be a vicious beast."" good book can't reaing"
890,B007PR34G8,Christine Feehan is a very talented and exciting writer. ... Good quick read! The story is very good. Full of adventure Dark angel All of the books that Christine Feehan has written are of the best quality and her creative imagination is one of the most uniqu Fantastic Great read Dark dream rocks Finally
891,B007PRQHFS,Another amazing read for ALL ages Oh My! Awesome book Great series Great story about a young man becoming what he is meant to be. Legend of the Ir'lndicti Great read!! Need More Wonderful! Thrilling Five Stars Great story! Five Stars Five Stars
892,B007QFWQYK,"Three Stars is for Average, a Solid Effort Wow! Excellent Difficult ending Certainly not the best out there but not the worst either An entertaining little story Trust? Who? Under the Dome Three Stars For Me This Book Brought Nothing Interesting glimpse of one future dimension"
893,B007QG1PLE,Misfits Great humor in a fantasy novel Comment Wand of the Witch Fun Read
894,B007QOJJIC,"Flotilla of the Dead (Sovereign Spirit Saga) Loved it! More! More! Addictive read Book 2 was as delightful as Book 1 Goes hard on the Z's Book two build more momentum for a great series. Very good Compelling and unexpected. A good read. fast paced read. Zombies, sex, romance Enjoyable Zombie Read with Tons of Action Adding to my ""Favorite Author's"" list Yep Excellent militery syfy and the saga goes on!! The story continues Love this author! MORE! Zombie Fanatic I really wanted to like this... What a great series Three Stars Different kind of Zombie book"
895,B007R6S3RM,liked it but very short and.....
896,B007RKQ95G,"Long intro, good ending"
897,B007S2FKQM,Great Book Very well written book give this one a whirl!!
898,B007S7YF40,"Excellent, no filler or lag in the story good plot line A good book on first contact. Very enjoyable. Shallow characters Ok space opera Good book Classic Space Opera Well done not bad good Maybe a bit too fast paced Something else Fun story Lunar Contact Good read! A  very well written book Rife with technical innacuracies and inconsistancies... but thouroughly enjoyable. Very good Good read ljkona 2012 Lunar Contact is Outstanding Ace ! Interesting but not satisfying Quickly across the galaxy A really good book Excellent story!!!! Sweet and sour The Author Is No Wordsmith! JD Clarke, new guy on the block Great Book Slow start but great ending Great storyline and well constructed Three Stars Terrific Series"
899,B007SEN77Y,"Indentured Indentured #1 Not  Very excited about this book LOVED THIS BOOK OK Another great one by this author! Excellent read! Was well written, but not quite what I like. Good introduction to the series. Nice idea, poor performance Very Futuristic and Fascinating Worth every penny, great series, buy it now! Good Story and Value at 99 Cents for Kindle Version Too short short but sweet indentured A HARD Sci-Fi Novel Good, but short its worth the time to make it better This is not a book, It is a short story. A good story teller with a story that just ends. A different slavery Good so far. A quick and interesting read Indentured Brilliant"
900,B007UU1ZRK,Four Stars WOW! Very interesting second book. Dark Earth strikes again
901,B007V3M9TO,Well researched... Refreshing and new view of life and struggle.
902,B007VTY1VC,Kevin's review
903,B007WHHXK4,"good story really enjoyed this Ghost in the Storm (The Ghosts) Entertained Superb sequell of the Ghosts series Hooked on the series! Five Stars Great story line best of the series I loved the book great characters, good plot Another great story in the series excellent another great book part of series Fantastic Great Awesome Series Ghost in the Storm (The Ghosts Book 4) Review Five Stars A wild read"
904,B007WNC3LC,Spectacular! Another fascinating tale!
905,B007WQSY44,"A story that drags you in Really Amazing A New Hero I liked this book Great book How could you not love it Admiral Who? and Admiral's Gambit Preview Rather humorous take on the ""Kid Admiral"" believed to be nobody actually become somebody through luck and tenacity Thoroughly enjoying the author's humor An interesting concept with poor execution. Buy this book!!  Do yourself a favor and Buy all in the series. Four Stars Entralling and funny who is this guy Good start i enjoyed this free book book so much I bought the ... Even after earning thousands of dollars it is still full of typos! Fix it please. Enormous fun Space opera, coming of age by untrained youth under lousy conditions. Good start to a pretty good series Boring Uninteresting story. Admiral Who ? by Luke Sky Watcher A Generally Funny Admiral An Ok Read but Sometimes Labourious Five Stars Good start to a good series Looking for fun? You found it. Getting thrown in the briar patch Comedy, Space Opera or Serious Sci-Fi? Fun book! OUTSTANDING ACHIEVEMENT. Swimming with the sharks on the way to Admiralty Great Read Humorous space opera. Good enough to read twice. MARVELOUS READING! Review on the whole serie ""The Admiral"" Admiral Who? is a book I've read over and over. Pretty good ...""Faster and Faster until we were hurtling at near ludicrous speed around the planet."" Dang good read and series Great Series At first I wasn't sure, and then... Don't judge this book by the horrible cover I like a good sci fi read Pretentious needing an editor Admiral Who 1st and this is a great book Old style space opera Destined to be a classic. Very Enjoyable The Sheer fun and excitement of the Storyline covered the few mechanical/stylistic issues. Excellent action adventure A great ride A fun read   not a page Turner but still entertaining Space Opera Spoof Join the Navy Good SF Book Great book Great book.  Buy it. Fun --- But Not Quite Ready for Publication has a lot of promise enjoyed it but nothing great My kind of series Mixed feelings Immensely enjoyable Solid Space Opera Good read very enjoyable - looking forward to the next one Wonderful Comedic Space Opera - A great value Enough Already Fun Read Great Story, Good writing, smashing good read!! This is really good! Really good read A great read This book is good. I mean really good So so Great Story"
906,B007WWZ3NI,ok! A delightful page-turner! Fun and Unique! A Novel of Time Travel A nice switch from my normal genre Adventure at its finest Fast Moving and Thought Provoking
907,B007WWZ5A4,Exciting and Wild Adventure! OK read Delightful and energetic A Mind and Time Bending Adventure Another fun book in this well-loved series!
908,B007WZMKKY,I won't bother reading the next book. Ice ahead
909,B007X4SOIQ,Really enjoyable Fracking Fantastic! Super Hero Baby Steps Intention Four Stars find something else. great novel Totally out there Humor Doesn't Hurt
910,B007XFJ0V0,Good story but not very deep Creative Mermaid Story
911,B007XI877A,Five Stars Good short read Love this series! Five Stars
912,B007XIIXE2,This one hooked me! Amazing Short Story
913,B007XPIE4E,Three Stars Way too short but good Nice short story in an interesting universe good but forgetable Sifi A good intro to the main story Ok Now Im addicted Kill the Torelli Good short story An Orbit for Intercept of Aliens good short
914,B007XPLJP0,Nice Introductory Short and then what... Great start Good story Five Stars One Stray Atom Sifi Four Stars Imperfect Very interesting Great short story Good character development also
915,B007Y2PMJQ,"Awesome!! This book has it all Interesting Liked the story Filled with suspense. nice action Good reading The Syn-En Solution a blend of SciFi and Romance Syn-end solution. Complicated A non stop read Flows well Interesting allegorical story A SyFy Novel of Cyborgs, Humans and Deep Space Wormholes. Great Read"
916,B007Y708XG,Another good one to keep the series going! Good read The Amarnan Kings  Bppk 4
917,B007YA99E2,man reaching out to those in the ocean but told a hell of a lot better. The pace was a bit slow but the ...
918,B007YU6EVI,"Loved it The Emperor's Edge Collection A fun romp I loved everything about this series!!! Five Stars great series What will happen nexr? Enjoyed them Wow Ms. Buroker hasn't disappointed me yet! Great series Very good You'll want to hire Emperor's Edge for your next job! When the bad do good, maybe? Three Stars Five stars. and politicians acting like politicians, I'll be following the crew's adventures That seems a bit too easy for plot development Does this author know how to hook you or what Wanting more!!!! Very good author Five Stars Action galore and minimal details on the gore Totally worth it Can't wait for more! Could've been better The Emperor's Edge Collection (1-3) Loved it! Awesome books. There were times I felt it was ... Memorable characters, witty dialogue, lots of action - an all round great series An interesting and complex fantasy world populated by interesting characters ... A good reaf Like a new flavor that you quickly get used to... Four Stars thoroughly enjoyable & believable Five Stars Emporer's Edge, 1, 2 & 3 Great characters, fun world and lots of action Very good land different Well... Love this series A must read for fans! Four Stars Three Stars Five Stars Five Stars Love it Five Stars Five Stars A really enjoyable read. A bit of a different ... Great reading. Story keeps you interested from start to ... Fabulous adventure series. It keeps you reading! I fin it hard to put down. Captivating Good relaxing and easy reading Interesting concept Book 1 emperor's Edge Four Stars Good Reads So glad I found these books. I was that pleased with this series Fun and exciting, magic and mystery, action and hope. Great series. Worth the Time And the winner is... Magic, Tragic, Heroic, Hypnotic. A good steampunk science fiction series A must read The Avengers in a realm of steam, swords and magic. Lover for assassins & spies This Collection of three books will lead to the next Easiest $7 I've ever saved! Highly Recommend. Wonderfully Well Written Series. The ""A"" Team meets The Princess Bride! Edge of your seat action while delivering great one-liners. All characters are likeable First 3 Great fun So much fun! Regarding the entire series Not your average fantasy novels 3 + 3 + 4 average 3.33 Five Stars"
919,B007YWIH02,"Another Great Read Wonderful again!!!! Five Stars Smoking hot series Blood War Loved the whole series Great series I love it! I loved it Love this series Great book, fantastic series! Blood Destiny Series Just keeps getting better!! Go Lissa!!! Love this story! good read Great Read 4 1/2 Stars - Another Great Installment A cliff hangar Read all her series, then reread them. Then wait for the next installment. Blood war Exciting and better than the last one"
920,B007YZQOLI,Well wrapped ending to the series. - this is a fantastic fantasy series Good book Very Original Conclusion A worthy read Suspense Loved the entire series Wonderful Great Third Book Five Stars Romance and war Didn't want it to end
921,B007Z3QWN4,"I read it, I loved it, I reviewed it, YOUR TURN The writing is very good an kept me up all night to finish the book. Tyrant Trouble Cute book Good Mudflat is an interesting place. almost a time travel story Slow paced Ill have to read the next one to find out. Different take on universe gates."
922,B007Z4WWZK,"SIFI Mystery Accelerated Four Stars A surprising twist on extraordinary powers. very entertaining Adolescent Novel.  OK, for price. A solid opening story of what can happen when you play with things you don't understand. It reminds me a little bit of X-Men... Loved it! When is the next in the franchise due? Gritty, grubby and a generally good read Good book"
923,B007Z8M6PM,Great read How many times can a person be captured? Very Good Vampire Story
924,B007Z95C0W,Still loving this series! Really good read and series overall Awesome finish to an awesome story!! good read An ok Fantasy A good completion to the series
925,B0080QL3Y8,roller coaster ride Interesting book supremely monumentally boring Excellent Emissary Good Read
926,B0080SR9GW,"Great story Flight Excellent book, very well written, riveting story. Author hasn't got a clue on how to develop a plot ehh..."
927,B0080XLF2Q,"Inticing story Liao is still fighting monsters who thought no one should a jump drive Five Stars A big letdown from the first. LACUNA: THE SANDS OF KARATHI...A STAR ABOVE Excellent Book not great Sifi Exciting & Riviting Sci-Fi romp! Excellent The Sands of Karathi Sci Fi Adventure Don't waste your time New aliens New battles and a new moral dilemma for the crew DO get this series! Lacuna: The Sands of Karathi Riveting A must read!!! What constitutes a soul? great series Awesome series, read the 1st one and finished the ..."
928,B0080XPD88,They weren't kidding about it being a dark/horror book. Four Stars read this series It's a fast and fun read nice it of extra thumatological goodness
929,B0081N0J5E,"Part two of United Families Preparation meets Opportunity Great 7 volume Series, wish I'd discovered it sooner This one's an A Well Worth a read The Series shows great promise Book 2 Even Better Great sequel"
930,B0081SO14Y,"Brilliant Concept, But Storytelling Needs Work My Review  :)"
931,B0081ST5HC,This is an interesting quite dark and unusual story. ... Living In Fear
932,B0081SV9US,"Nice series. I can't wait for the next one! The Prelude Gets you Hooked Just like the Orange Dust from a Billion Years in the Future. Great Series Great read So, So SAXON ANDREW does it again Good Series. another great novel A most excellent author Awesome! This author taught me to love the term ""space opera""!  This series is an easy, enjoyable read, and any sci fi fan should enjoy. Enjoyable read See saw affair with the other series but tied in well and great read Five Stars Great read Needs work"
933,B00822CMZ4,Five Stars Two Brown is a great zombie book writer Good story but a ton of typos Shades of The Walking Dead? Excellent I wish this story could go on and on. Loved the series
934,B0082CBV5G,"Definitely fun An off beat story by a favorite author. Sort of a ""Grimm's Fairy Tail"" with ..."
935,B0082CBXNQ,REGULAR Biden's unknown magic instead of Known Space Excellent novel
936,B0082XLZ3I,A great glimpse of Chess' beginnings Downside is my favorite fictional world Love this series! Finding Magic well done!
937,B008327Z6O,"E Z reading Good, but hard to follow sometimes! Steve has won out again.... However once it got of the ground it was a good continuation of the story OK but confusing"
938,B00836QAXO,"Great Series Very enjoyable series GREAT books! ... 12 book series and one heck of a story love love love great read. two thumbs up Five Stars One month, one week of life left. One of a Series I love this series a better story than book 5 Comet Clement Uh Oh another great Author. What am I going to do A little twisted, good story! still going strong A good read ANOTHER GOOD ONE Plot is usually predictable awesome Great middle ending of the saga. liked a lot Comet Clemet Series Review Waste of words Highest Praise for Kevin George Great Great story line, too many grammatical errors & misused words Absolutely the best... Final Days Comet Clement series is a very good story. High Praise for #1 - #8 Great series Decent story but read better"
939,B00838GX52,Good stuff! ok It's a cute book Humorous thought provoking analogs Really different and that was nice
940,B00838TX18,"Interesting, would be a good read prior to the Xarrok series. Bad guys are the Ven. Great idea that fell a little short. Sorry."
941,B0083CMJ74,If Only This Could Really Happen! Two Stars I liked this story and the unique concept of events that ... An Interesting Polar Opposite of Tolkien's Magic Kingdom
942,B0083D8PSU,"Kelly blake, impeckable timing lord Another Outstanding Kelly Blake Book Kelly Blake keeps on winning Very Good Excellent Great Entertainment Great Finish To The Series So - So Where The Stars are Few and Far Between Tell me there are more in this series??? fun Kelly Blake - Space Hero 3rd time lost a bit of the charm GOOD BOOK Where the stars are closer than you think Not the easiest read Better and better A good fast paced story Good"
943,B0083DHIOW,Entertaining short story read Book 2 of the Asylum series
944,B0083DHIV0,4.5 stars -  The first of two peeks into Drake's new series - so far it looks like fun Entertaining short story Enticing Sensual Paranormal Book 1 of the Asylum Series
945,B0083DNKBC,An enjoyable read Rabbit with powers The kind of different I am looking for. Fast paced...but maybe too fast paced Very fun and interesting read YA???
946,B0083ODXSG,Emotional and Tender Love Story
947,B0083SGJZG,This is strictly for YA
948,B0083V4BRQ,The Hunter and the Hunted 'cause I really love Armstrongs writing Twister Eve and Elena short
949,B0083YNI7M,Not Good
950,B008426FJG,"Great Glimpse into a possible future Wow! A Great Read Loved this book After reading Definition, I can recommend...Renewal Enjoyable read, while waiting for the next Renewal novel..."
951,B0084EZVF8,Violatilon Great!!! viol An interesting and compelling series
952,B0084IV4VO,Not the movie Tarzan
953,B0085BVLUO,Four Stars
954,B0085DORP8,Did not grab my attention
955,B0085DYAV4,Disappointing
956,B0085ECWB8,"The exile and the Terran President is ludicrous, the rest I liked a lot Great space opera The MAN is back in TOWN A Decent Continuation"
957,B0085L1GD6,"Review: Real Lies by Liana Brooks A well-told tale with humor and a twist Short story This was not a book, it was less than a chapter WAY to short interesting story ? Free & Short (and editing not paid for) Good...Had More Potential"
958,B0086GMMAQ,Better and Better
959,B0086Y65GU,Soup's on! Good Read. An original tale.
960,B0087HI3XE,iTS ALRIGHT FOR A QUICK READ
961,B0087HI44W,Wonderful Dark Take on Timeless Story (though not original) pretty goodSnow White retelling not my thing FANTABULOUS! What was he thinking New Universe Overload Moments of Rewarding Originality
962,B0087WTFQ8,"Comet Clement series is a very good story. High Praise for #1 - #8 looking for 8 Action-packed page turner Detailed description of what worst case scenario of a comet strike on earth Bad science does to this book what the comet does to earth Story's great! Book: Impact great Series of books! Great series. Five Stars Very good series. Great action, sci-fi. Five Stars Comet Clement Book 7 Comet Clement as expected another great book in the series Is this our future? good Lots of action scary Hard to Read Comet Clement Series Review What more can I say? Highest Praise for Kevin George Great Great series Impact Impact Great book series. Decent story but read better"
963,B00885S592,Put simply....a great read! A Story Of Determination... and hope.
964,B00887FGQK,Excellent Sci-Fi What does it mean to be an alien? The best sci-fi novel I've read in years! What fun! very enjoyable Well written
965,B0088VKYVI,Its Hammer Time! 80AD - The Hammer of Thor (Book 2) Good follow-up A must read for RPGers Hammer of Thor Great book. This author really blossomed between Book 1 and Book 5. 80 AD - Hammer of Thor what game can do to you! ;) MG Mythical Fantasy This was a pretty fun read so far (all three of the series ... 80AD The Hammer of Thor
966,B0089B9PVW,"Awesome series Love this series! I'm hooked on this series! Good series Another Great Read Still too Manny secrets More mystery continues,poisoning,threats,a secret talisman? I enjoyed the books so much I read them all quickly ... Keeping me in my toes and not are they bent!!"
967,B0089DIVXS,"The Lost Hero of the Heaven Saga, Book 1 Maybe a writing exercise. Space Opera or B-Movie or Both? good book Worth reading. Great story following a good plot and nice start to a series. Good Storyline With Major Flaws Stilted, wordy, doesn't flow like it could"
968,B0089GK56G,Read both books in this set and you won't be disappointed A fun little series starter
969,B008AZ1IXA,Grimdark Epic Fantasy action Good read One of the best trilogies!
970,B008C1GDJ6,Projects Eden  Pale Horse #3 GREAT BOOK Awesome. Read series. Excellent! Another installment pale Horse Author to watch. Pale Horse The world of our future?
